id,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
146401,"Holistic Сухой корм для щенков, с ягненком и лососем, 11,2 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,9499,Скидки нет,Grandin
135841,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,3749,3636.53,Grandin
135840,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,8999,Скидки нет,Grandin
117425,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,2319,2249.43,Ownat
124635,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,7999,Скидки нет,Ownat
140809,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,3499,3394.03,Grandin
140805,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,8949,Скидки нет,Grandin
117429,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,2469,2394.93,Ownat
117430,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,7299,Скидки нет,Ownat
117414,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,1499,1454.03,Aвва
117413,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,4999,Скидки нет,Aвва
151181,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 400 гр.",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,589,571.33,Ownat
117423,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 1 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,1235,1197.95,Ownat
124642,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,2865,2779.05,Ownat
44102,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,1719,1667.43,Aвва
44117,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,5999,Скидки нет,Aвва
117436,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,2729,2647.13,Ownat
117437,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,8499,Скидки нет,Ownat
119938,"N&D PUMPKIN сухой корм для щенков средних и крупных пород, с ягненком, тыквой и черникой, 2,5кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-medium-maxi-2-5-kg.html,3672,3589.52,Farmina
119939,"N&D PUMPKIN сухой корм для щенков средних и крупных пород, с ягненком, тыквой и черникой, 12кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-medium-maxi-2-5-kg.html,13499,Скидки нет,Farmina
140807,"Holistic Сухой корм для щенков, с ягненком и лососем, 2,7 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,3499,3394.03,Grandin
146401,"Holistic Сухой корм для щенков, с ягненком и лососем, 11,2 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,9499,Скидки нет,Grandin
135841,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,3749,3636.53,Grandin
135840,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,8999,Скидки нет,Grandin
117425,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,2319,2249.43,Ownat
124635,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,7999,Скидки нет,Ownat
140809,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,3499,3394.03,Grandin
140805,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,8949,Скидки нет,Grandin
117429,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,2469,2394.93,Ownat
117430,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,7299,Скидки нет,Ownat
117414,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,1499,1454.03,Aвва
117413,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,4999,Скидки нет,Aвва
151181,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 400 гр.",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,589,571.33,Ownat
117423,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 1 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,1235,1197.95,Ownat
124642,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,2865,2779.05,Ownat
44102,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,1719,1667.43,Aвва
44117,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,5999,Скидки нет,Aвва
117436,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,2729,2647.13,Ownat
117437,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,8499,Скидки нет,Ownat
119938,"N&D PUMPKIN сухой корм для щенков средних и крупных пород, с ягненком, тыквой и черникой, 2,5кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-medium-maxi-2-5-kg.html,3672,3589.52,Farmina
119939,"N&D PUMPKIN сухой корм для щенков средних и крупных пород, с ягненком, тыквой и черникой, 12кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-medium-maxi-2-5-kg.html,13499,Скидки нет,Farmina
140807,"Holistic Сухой корм для щенков, с ягненком и лососем, 2,7 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,3499,3394.03,Grandin
146401,"Holistic Сухой корм для щенков, с ягненком и лососем, 11,2 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,9499,Скидки нет,Grandin
135841,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,3749,3636.53,Grandin
135840,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,8999,Скидки нет,Grandin
117425,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,2319,2249.43,Ownat
124635,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,7999,Скидки нет,Ownat
140809,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 2,7 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,3499,3394.03,Grandin
140805,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 11,2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,8949,Скидки нет,Grandin
117429,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,2469,2394.93,Ownat
117430,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,7299,Скидки нет,Ownat
117414,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,1499,1454.03,Aвва
117413,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,4999,Скидки нет,Aвва
151181,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 400 гр.",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,589,571.33,Ownat
117423,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 1 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,1235,1197.95,Ownat
124642,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,2865,2779.05,Ownat
44102,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,1719,1667.43,Aвва
